*Generic
Reference Type	Author	Year	Title	Secondary Title	Place Published	Pages	Number	Publisher	Volume	Secondary Author	Custom 1
Journal	Massenet D, Abakar D, Karifene R	1995	Urogenital schistosomiasis infection survey in N'Djamena's children (Chad)	Bulletin de la Societe de Pathologie Exotique et de ses Filiales		35-37	1		88		TCD0003
Journal	Bechir M, Schelling E, Hamit MA, Tanner M, Zinsstag J	2012	Parasitic infections, anemia and malnutrition among rural settled and mobile pastoralist mothers and their children in Chad	Ecohealth		122-131	2		9		TCD0004
Journal	Lapierre J, Tourte-Schaefer C, Dupouy-Camet J, Heyer F, Faurant C	1988	An epidemiologic study of a focus of Schistosoma mansoni bilharziasis in Kara (North Togo)	Bull Soc Pathol Exot Filiales		861-868	5		81		TGO0001
Journal	Scheiber P and Braun-Munzinger RA	1976	Bancroftian Filariasis in Togo 1. a comparative field study of the membrane filtration concentration technique and conventional blood films	Tropenmed Parasitol		224-228	2		27		TGO0002LF
Journal	Chongsuvivatwong V, Pas-Ong S, McNeil D, Geater A, Duerawee M	1996	Predictors for the risk of hookworm infection: experience from endemic villages in southern Thailand	Trans R Soc Trop Med Hyg		630-633	6		90		THA0001
Journal	Triteeraprapab S, Nuchprayoon I	1998	Eosinophilia, anemia and parasitism in a rural region of northwest Thailand	Southeast Asian J Trop Med Public Health		584-590	3		29		THA0002
Journal	Harinasuta C, Charoenlarp P, Guptavanij P and Sucharit S	1964	A Pilot Project for the Control of Filariasis in Thailand	Ann Trop Med Parasitol		315-327			58		THA0002LF
Journal	Anantaphruti MT, Nuamtanong S, Muennoo C, Sanguankiat S, Pubampen S	2000	Strongyloides stercoralis infection and chronological changes of other soil-transmitted helminthiases in an endemic area of southern Thailand	Southeast Asian J Trop Med Public Health		378-382	2		31		THA0003
Journal	Suwansaksri J, Garnngarndee U, Wiwanitkit V, Soogarun S	2003	Study of factors influencing intestinal parasitic infections in a rural community in northeastern Thailand	Southeast Asian J Trop Med Public Health		94-97			34 Suppl 2		THA0004
Journal	Piangjai S, Sukontason K, Sukontason KL	2003	Intestinal parasitic infections in hill-tribe schoolchildren in Chiang Mai, northern Thailand	Southeast Asian J Trop Med Public Health		90-93			34 Suppl 2		THA0005
Journal	Tomono N, Anantaphruti MT, Jongsuksuntigul P, Thongthien P, Leerapan P, Silapharatsamee Y, Kojima S, Looareesuwan S	2003	Risk factors of helminthiases among schoolchildren in southern Thailand	Southeast Asian J Trop Med Public Health		264-268	2		34		THA0006
Journal	Guptavanij P, Harinasuta C, Deesin T and Vutikes S	1971	Prevalence of sub-periodic Brugia malayi in areas near the thai-Malaysian border	Southeast Asian J Trop Med Public Health		100-101	1		2		THA0006LF
Journal	Guptavanij P, Harinasuta C, Sucharit S and Vutikes S	1971	Studies on sub-periodic Brugia malayi in southern Thailand	Southeast Asian J Trop Med Public Health		44-50	1		2		THA0007LF
Journal	Chongsuvivatwong V, Uga S, Nagnaen W	1999	Soil contamination and infections by soil-transmitted helminths in an endemic village in southern Thailand	Southeast Asian J Trop Med Public Health		64-67	1		30		THA0008
Journal	Harinasuta C and Sucharit S	1977	Observation on the reduction of the prevalence of malayan filariasis in Chumphon Province of South Thailand	Southeast Asian J Trop Med Public Health		179-184	2		8		THA0008LF
Journal	Yaicharoen R, Ngrenngarmlert W, Wongjindanon N, Sripochang S, Kiatfuengfoo R	2006	Infection of Blastocystis hominis in primary schoolchildren from Nakhon Pathom province, Thailand	Trop Biomed		117-122	1		23		THA0009
Journal	Guptavanij P, Harinasuta C, Surathin K, Vutikes S and Deesin T	1977	Studies on the prevalence of Malayan filariasis in South Thailand	Southeast Asian J Trop Med Public Health		42-52	1		8		THA0009LF
Journal	Warunee N, Choomanee L, Sataporn P, Rapeeporn Y, Nuttapong W, Sompong S, Thongdee S, Bang-On S, Rachada K	2007	Intestinal parasitic infections among school children in Thailand	Trop Biomed		83-88	2		24		THA0010
Journal	Waree P, Polseela P, Pannarunothai S, Pipitgool V	2001	The present situation of paragonimiasis in endemic area in Phitsanulok Province	Southeast Asian J Trop Med Public Health		51-54			32 Suppl 2		THA0011
Journal	Waikagul J, Krudsood S, Radomyos P, Radomyos B, Chalemrut K, Jonsuksuntigul P, Kojima S, Looareesuwan S, Thaineau W	2002	A cross-sectional study of intestinal parasitic infections among schoolchildren in Nan Province, Northern Thailand	Southeast Asian J Trop Med Public Health		218-223	2		33		THA0012
Journal	Nuchprayoon S, Yentakam S, Sangprakarn S and Junpee A	2001	Endemic bancroftian filariasis in Thailand: detection by Og4C3 antigen capture ELISA and the polymerase chain reaction	J Med Assoc Thai		1300-1307	9		84		THA0013LF
Journal	Sukontason K, Piangjai S, Na-Bangchang K, Karbwang J	2000	Successful eradication of Ascaris lumbricoides and hookworm infection after three repeated doses of albendazole	J Med Assoc Thai		1095-1100	9		83		THA0014
Journal	Sithithaworn P, Srisawangwong T, Tesana S, Daenseekaew W, Sithithaworn J, Fujimaki Y, Ando K	2003	Epidemiology of Strongyloides stercoralis in north-east Thailand: application of the agar plate culture technique compared with the enzyme-linked immunosorbent assay	Trans R Soc Trop Med Hyg		398-402	4		97		THA0015
Journal	Saowakontha S, Pongpaew P, Vudhivai N, Tungtrongchitr R, Sanchaisuriya P, Mahaweerawat U, Laohasiriwong W, Intarakhao C, Leelapanmetha P, Chaisiri K, et al	2000	Promotion of the health of rural women towards safe motherhood--an intervention project in northeast Thailand	Southeast Asian J Trop Med Public Health		5-21			31 Suppl 2		THA0016
Journal	Anantaphruti MT, Jongsuksuntigul P, Imsomboon T, Nagai N, Muennoo C, Saguankiat S, Pubampen S, Kojima S	2002	School-based helminthiases control: I. A baseline study of soil-transmitted helminthiases in Nakhon Si Thammarat Province, Thailand	Southeast Asian J Trop Med Public Health		113-119			33 Suppl 3		THA0017
Journal	Anantaphruti MT, Maipanich W, Muennoo C, Pubampen S, Sanguankiat S	2002	Hookworm infections of schoolchildren in southern Thailand	Southeast Asian J Trop Med Public Health		468-473	3		33		THA0018
Journal	Anantaphruti MT, Waikagul J, Maipanich W, Nuamtanong S, Pubampen S	2004	Soil-transmitted helminthiases and health behaviors among schoolchildren and community members in a west-central border area of Thailand	Southeast Asian J Trop Med Public Health		260-266	2		35		THA0019
Journal	Tungtrongchitr A, Chiworaporn C, Praewanich R, Radomyos P, Boitano JJ	2007	The potential usefulness of the modified Kato thick smear technique in the detection of intestinal sarcocystosis during field surveys	Southeast Asian J Trop Med Public Health		232-238	2		38		THA0020
Journal	Methanitikorn R, Sukontason K, Sukontason KL, Piangjai S	2003	Evaluation of the formalin-tween concentration technique for parasitic detection	Rev Inst Med Trop Sao Paulo		289-291	5		45		THA0021
Journal	Jiraanankul V, Aphijirawat W, Mungthin M, Khositnithikul R, Rangsin R, Traub RJ, Piyaraj P, Naaglor T, Taamasri P, Leelayoova S	2011	Incidence and risk factors of hookworm infection in a rural community of central Thailand	Am J Trop Med Hyg		594-598	4		84		THA0022
Journal	Matthys B, Bobieva M, Karimove G, Mengliboeva Z, Jean-Richard V, Hoimnazarova M, Kurbonova M, Lohourignon LK, Utzinger J, Wyss K	2011	Prevalence and risk factors of helminths and intestinal protozoa infections among children from primary schools in western Tajikistan	Parasites & Vectors 			195		4		TJK0002
Journal	O'Connor FW	1922	Some results of medical researches in the Western Pacific	Trans R Soc Trop Med Hyg		28-55			16		TKL0001LF
Journal	Laird M	1955	Notes on the mosquitos of the Gilbert, Ellice and Tokelau Islands, and on Filariasis in the latter group	Bull Entomol Res		291-300			46		TKL0002LF
Book	Sasa M	1976	Human filariasis. A global survey of epidemiology and control		Baltimore			University Park Press			TKL0003LF
Report	WHO	2007	WHO country report					World Health Organization		World Health Organization	TKL0004LF
Journal	Ferreira FS, Cunha CA, Vieira R and Matias AMF	1965	Lymphatic filariasis in Portuguese Timor. I. General aspects of infestation with Brugia (timor)	Anais do Instituto de Medicina Tropical		75			22		TLS0001LF
Journal	Ferreira FS, Matias MF, Cunha CC and Vieira RA	1966	Lymphatic filariasis in Portuguese Timor. II. Preliminary results of a pilot project of chemoprophylaxis with diethylcarbamazine	Anais do Instituto de Medicina Tropical		23			23		TLS0002LF
Journal	Janz JG and Sing EG	1977	Lymphatic filariasis in East Timor	Anais do Instituto de Higiene e Medicina Tropical		257			5		TLS0003LF
Journal	Hughes RG, Sharp DS, Hughes MC, Akau'ola S, Heinsbroek P, Velayudhan R, Schulz D, Palmer K, Cavalli-Sforza T, Galea G	2004	Environmental influences on helminthiasis and nutritional status among Pacific schoolchildren	Int J Environ Health Res		163-177	3		14		TON0001
Journal	Desowitz RS and Hitchcock JC	1974	Hyperendemic bancroftian filariasis in the Kingdom of Tonga: the application of the membrane filter concentration technique to an age-stratified blood survey	Am J Trop Med Hyg		877-879	5		23		TON0001LF
Journal	Desowitz RS, Berman SJ and Puloka T	1976	Hyperendemic subperiodic Bancroftian filariasis: a search for clinical and immunological correlates of microfilaraemia	Bull World Health Organ		565-571	5		54		TON0002LF
Journal	Huppatz C, Capuano C, Palmer K, Kelly PM and Durrheim DN	2009	Lessons from the Pacific programme to eliminate lymphatic filariasis: a case study of 5 countries	BMC Infect Dis		92			9		TON0003LF
Journal	Joseph H, Maiava F, Naseri T, Taleo F, ake M, Capuano C and Melrose W	2011	Application of the Filariasis CELISA Antifilarial IgG(4) Antibody Assay in Surveillance in Lymphatic Filariasis Elimination Programmes in the South Pacific	J Trop Med		492023			2011		TON0004LF
Report	WHO	2007	WHO country report					World Health Organization		World Health Organization	TON0005LF
Journal	Nathan MB, Tikasingh ES, Nelson GS, Santiago A and Davies JB	1979	The prevalence and distribution of Mansonella ozzardi in coastal north Trinidad, W.I	Trans R Soc Trop Med Hyg		299-302	3		73		TTO0001LF
Journal	Nathan MB	1981	Bancroftian filariasis in coastal North Trinidad, West Indies: intensity of transmission by Culex quinquefasciatus	Trans R Soc Trop Med Hyg		721-730	5		75		TTO0002LF
Journal	Nathan MB, Hamilton PJ, Monteil S and Tikasingh ES	1987	Bancroftian filariasis in coastal north Trinidad: the effects of mass chemotherapy using spaced doses of diethylcarbamazine citrate on human microfilaraemias and vector infection rates	Trans R Soc Trop Med Hyg		663-668	4		81		TTO0003LF
Journal	Chadee DD, Tilluckdharry CC, Rawlins SC, Doon R and Nathan MB	1995	Mass chemotherapy with diethylcarbamazine for the control of Bancroftian filariasis: a twelve-year follow-up in northern Trinidad, including observations on Mansonella ozzardi	Am J Trop Med Hyg		174-176	2		52		TTO0004LF
Journal	Rawlins SC, Lammie P, Tiwari T, Pons P, Chadee DD, Oostburg BF and Baboolal S	2000	Lymphatic filariasis in the Caribbean region: the opportunity for its elimination and certification	Rev Panam Salud Publica		319-324	5		7		TTO0005LF
Journal	Balci MK, Aydogdu S, Koc O, Yesilbag B, Yurdaydin C, Ozden A	1990	Parasite prevalence in schools with different socioeconomic status and evaluation of methods for diagnosing intestinal parasitic diseases	Mikrobiyol Bul		368-378	4		24		TUR0001
Journal	Coskun S	1991	Intestinal parasites in primary school students	Mikrobiyol Bul		367-372	4		25		TUR0002
Journal	Gurses N, Ozkan Y, Peksen Y, Uysal S, Aydin M	1991	Intestinal parasites in primary schools of different socioeconomic status and environmental conditions	Mikrobiyol Bul		57-62	1		25		TUR0003
Journal	Koksal I, Malkoc CH, Ozergin O, Dugdu S, Ozgurbuz F, Cakmak T, Beser E	1992	The prevalence of intestinal parasites in primary school students in Trabzon and the importance of education of parasite patients	Mikrobiyol Bul		155-162	2		26		TUR0004
Journal	Ciftci IH, Cetinkaya Z, Demirdal T, Kyld N, Demiturk N, Altndis M	2004	Distribution of intestinal parasitosis in the Mimar Sinan and Ataturk Primary Schools in Bayat, Afyon, Turkey	Turkiye Parazitoloji Dergisi		10 ref.			28		TUR0005
Journal	Ulukanligil M	2006	[The results of a control program carried out on school children for intestinal parasites in Sanliurfa province, Turkey between the years of 2001 and 2005]	Turkiye Parazitol Derg		39-45	1		30		TUR0006
Journal	Uzun A, Tekay F, Karasahin O, Yesilmen S, Topcu M, Gul K	2004	The investigation of intestinal parasites in five primary schools in different areas of the City of Diyarbakr, Turkey	Turkiye Parazitoloji Dergisi		15 ref.			28		TUR0007
Journal	Goz Y, Aydin A, Tuncer O	2005	Distribution of intestinal parasites in children from the 23 Nisan Primary School in Hakkari.	Turkiye Parazitol Derg		268-270	4		29		TUR0008
Journal	Ak M, Keles E, Karacasu F, Pektas B, Akkafa F, Ozgur S, Sahinoz S, Ozcirpici B, Bozkurt AI, Sahinoz T, et al	2006	The distribution of the intestinal parasitic diseases in the Southeast Anatolian (GAP=SEAP) region of Turkey	Parasitol Res		146-152	2		99		TUR0009
Journal	Celik T, Daldal N, Karaman U, Aycan OM, Atambay M	2006	Incidence of intestinal parasites among primary school children in Malatya	Turkiye Parazitol Derg		35-38	1		30		TUR0010
Journal	Degerli S, Celiksoz A, Aslan A, Acioz M, Ozcelik S	2006	Comparison of the results of examination of fecal samples from students at six months intervals in the Alahaci village primary school in Sivas	Turkiye Parazitol Derg		305-307	4		30		TUR0011
Journal	Kurtoglu MG, Korkoca H, Cicek M, Cengiz ZT	2007	Prevalence of intestinal parasites among workers in food sector in Van region	Turkiye Parazitol Derg		309-312	4		31		TUR0012
Journal	Yilmaz M, Korkmaz E, Karakoc S, Yazturk S, Kizirgil A, Yakupogullari Y	2007	Investigation of intestinal parasites and ectoparasites in three primary school students in Elazig	Turkiye Parazitol Derg		139-141	2		31		TUR0013
Journal	Yilmaz H, Arabaci F, Ozdal N, Tas Z, Metin S, Orunc O	2007	The prevalence of intestinal parasite infections among schoolchildren of Van province, Turkey	Tropical Doctor		123-124	2		37		TUR0014
Journal	Atas AD, Alim A, Atas M, Artan MO	2008	The investigation of intestinal parasites in two primary schools in different social-economic districts of the city of Yozgat, Turkey	Turkiye Parazitol Derg		261-265	3		32		TUR0015
Journal	Ulukanligil M, Seyrek A	2004	Anthropometric status, anaemia and intestinal helminthic infections in shantytown and apartment schoolchildren in the Sanliurfa province of Turkey	Eur J Clin Nutr		1056-1061	7		58		TUR0016
Journal	Hughes RG, Sharp DS, Hughes MC, Akau'ola S, Heinsbroek P, Velayudhan R, Schulz D, Palmer K, Cavalli-Sforza T, Galea G	2004	Environmental influences on helminthiasis and nutritional status among Pacific schoolchildren	Int J Environ Health Res		163-177	3		14		TUV0001
Journal	Speare R, Latasi FF, Nelesone T, Harmen S, Melrose W, Durrheim D, Heukelbach J	2006	Prevalence of soil transmitted nematodes on Nukufetau, a remote Pacific island in Tuvalu	BMC Infect Dis		110			6		TUV0002
Report	WHO	2007	WHO country report					World Health Organization		World Health Organization	TUV0002LF
Journal	Albonico M, Bickle Q, Haji HJ, Ramsan M, Khatib KJ, Montresor A, Savioli L, Taylor M	2002	Evaluation of the efficacy of pyrantel-oxantel for the treatment of soil-transmitted nematode infections	Trans R Soc Trop Med Hyg		685-690	6		96		TZA0001
Journal	McCarthy DD	1930	Medical notes from Weti, Pemba	Trans R Soc Trop Med Hyg		401-412	4		23		TZA0001LF
Journal	Albonico M, Bickle Q, Ramsan M, Montresor A, Savioli L, Taylor M	2003	Efficacy of mebendazole and levamisole alone or in combination against intestinal nematode infections after repeated targeted mebendazole treatment in Zanzibar	Bull World Health Organ		343-352	5		81		TZA0002
Journal	Hawking F	1940	Distribution of filariasis in Tanganyika territory, East Africa.	Ann Trop Med Parasitol		107-119			34		TZA0002LF
Journal	Albonico M, Carneri Id, Matteo Ld, Ghiglietti R, Toscano P, Uledi MK, Savioli L, De Carneri I, Di Matteo L	1993	Intestinal parasitic infections of urban and rural children on Pemba Island: implications for control	Annals of Tropical Medicine and Parasitology		579-583	6		87		TZA0003
